hydrological_year,momnq_mm_per_year
1960,154
1961,383
1962,338
1963,193
1964,192
1965,191
1966,363
1967,377
1968,351
1969,345
1970,377
1971,212
1972,159
1973,155
1974,210
1975,294
1976,124
1977,158
1978,212
1979,214
1980,254
1981,310
1982,284
1983,314
1984,181
1985,210
1986,163
1987,304
1988,306
1989,209
1990,114
1991,123
1992,110
1993,140
1994,201
1995,276
1996,163
1997,194
1998,167
1999,314
2000,253
2001,299
2002,238
2003,229
2004,104
2005,178
2006,118
2007,183
2008,231
2009,138
2010,200
2011,182
2012,138
2013,200
2014,150
2015,173
2016,175
2017,138
2018,242
2019,133
2020,188
2021,132
2022,150
2023,168
